t_bucket,abs_bin,n,raw_wr,fair_value
T<=240,"(0.0, 1.0]",11503,0.5601147526732156,0.5618184790983085
T<=240,"(1.0, 2.0]",4349,0.591170383996321,0.5934918280914898
T<=240,"(2.0, 3.0]",3011,0.6363334440385254,0.6355009087276761
T<=240,"(3.0, 5.0]",3726,0.7066559312936125,0.7007311248875647
T<=240,"(5.0, 7.0]",1986,0.7396777442094663,0.7249096713899106
T<=240,"(7.0, 10.0]",1501,0.7475016655562958,0.7274533641295589
T<=240,"(10.0, 15.0]",809,0.7985166872682324,0.7521582586089589
T<=240,"(15.0, inf]",393,0.9083969465648855,0.7866428698374249
240<T<=480,"(0.0, 1.0]",5231,0.5553431466258841,0.5646676251250496
240<T<=480,"(1.0, 2.0]",4164,0.6517771373679154,0.6568496045176186
240<T<=480,"(2.0, 3.0]",3488,0.6969610091743119,0.6993602519975316
240<T<=480,"(3.0, 5.0]",5550,0.7263063063063063,0.7263549802678034
240<T<=480,"(5.0, 7.0]",3841,0.7690705545430877,0.7660412061257305
240<T<=480,"(7.0, 10.0]",3833,0.8129402556744064,0.8067206955157633
240<T<=480,"(10.0, 15.0]",3023,0.8508104531921932,0.839655923733569
240<T<=480,"(15.0, inf]",2418,0.9210090984284532,0.8996234858596945
480<T<=720,"(0.0, 1.0]",3696,0.5700757575757576,0.587681225320607
480<T<=720,"(1.0, 2.0]",3457,0.6670523575354353,0.678034116683829
480<T<=720,"(2.0, 3.0]",2944,0.7398097826086957,0.745799684457813
480<T<=720,"(3.0, 5.0]",5030,0.7821073558648112,0.7833722657375508
480<T<=720,"(5.0, 7.0]",3868,0.8342812823164426,0.8321435164062249
480<T<=720,"(7.0, 10.0]",4068,0.8785644051130777,0.8734830989883574
480<T<=720,"(10.0, 15.0]",4103,0.9254204240799415,0.9171869580697583
480<T<=720,"(15.0, inf]",4394,0.9722348657259899,0.9615198501025023
T>720,"(0.0, 1.0]",2019,0.5978207033184745,0.6343487447072783
T>720,"(1.0, 2.0]",1877,0.7352157698454982,0.7551928061443172
T>720,"(2.0, 3.0]",1662,0.8038507821901324,0.8155222930561562
T>720,"(3.0, 5.0]",2925,0.88,0.8800169733259467
T>720,"(5.0, 7.0]",2368,0.9311655405405406,0.9254328107107115
T>720,"(7.0, 10.0]",2521,0.9523998413328044,0.9447198649330657
T>720,"(10.0, 15.0]",2917,0.9753171066163867,0.966445364928871
T>720,"(15.0, inf]",3432,0.99504662004662,0.9858131669282364
