family,cell,n,wins_up,wr_up,p,wilson_lo,wilson_hi,p_side,q_bh
F1_hist1,0,52567,26759,0.5090455989499115,3.418913633653355e-05,0.5047714495003706,0.5133184263900699,1.7094568168266774e-05,0.00014557954827169124
F1_hist1,1,52553,25794,0.4908187924571385,2.6081663249292205e-05,0.48654542709483634,0.4950935000053796,1.3040831624646102e-05,0.00011871653616919211
F1_hist2,0,25808,13292,0.5150340979541228,1.4032785845444707e-06,0.5089348042117808,0.521128916619359,7.016392922722353e-07,1.0290709619992785e-05
F1_hist2,1,26759,13467,0.5032699278747337,0.2874698110529312,0.4972791294690751,0.5092597875344166,0.1437349055264656,0.2519624672887922
F1_hist2,2,26759,13365,0.49945812623790126,0.864091915597247,0.4934677504164105,0.5054486576230108,0.4320459577986235,0.46284986406767753
F1_hist2,3,25794,12429,0.4818562456385206,5.8025289755765845e-09,0.47576149660741096,0.48795639830361137,2.9012644877882922e-09,8.510375830845656e-08
F1_hist3,0,12516,6550,0.5233301374240972,1.8673026208860727e-07,0.5145740774314572,0.5320718801340124,9.336513104430364e-08,1.7605996139782971e-06
F1_hist3,1,13292,6742,0.5072223894071622,0.09758085374733327,0.4987221826184666,0.5157184226306213,0.04879042687366664,0.12471425459126471
F1_hist3,2,13394,6707,0.5007466029565477,0.8695967143089699,0.49227980584238396,0.50921297191967,0.43479835715448495,0.46284986406767753
F1_hist3,3,13365,6760,0.5057987280209503,0.18282581054106498,0.4973218611199074,0.5142722623380295,0.09141290527053249,0.18445766321097426
F1_hist3,4,13292,6734,0.5066205236232321,0.12903672666927374,0.49812034914018627,0.5151168723381442,0.06451836333463687,0.14683489586503562
F1_hist3,5,13467,6631,0.49238880225736986,0.07876026287573451,0.48394833026755624,0.5008336153534212,0.039380131437867255,0.10717891442883459
F1_hist3,6,13365,6569,0.4915076692854471,0.05059112709996793,0.483035561409312,0.49998465778454854,0.025295563549983965,0.07180676104511577
F1_hist3,7,12429,5860,0.47147799501166626,2.121432227196892e-10,0.46271208647743806,0.4802615294656783,1.060716113598446e-10,4.6671508998331625e-09
F1_hist4,0,5966,3089,0.5177673483070734,0.006295191756144992,0.5050802579592963,0.5304315720363268,0.003147595878072496,0.012983832997049045
F1_hist4,1,6550,3461,0.5283969465648855,4.534220379431979e-06,0.5162944578974042,0.5404661449221695,2.2671101897159896e-06,2.4938212086875887e-05
F1_hist4,2,6687,3464,0.5180200388814117,0.0033333926134089167,0.5060366746676577,0.5299827103974439,0.0016666963067044583,0.008302034433395791
F1_hist4,3,6605,3278,0.4962906888720666,0.5547813427240699,0.4842382823344518,0.5083474077205193,0.27739067136203494,0.35722505970525475
F1_hist4,4,6558,3318,0.505946935041171,0.34168888821188176,0.49384631914702715,0.5180405877237512,0.17084444410594088,0.2784131681726444
F1_hist4,5,6836,3389,0.4957577530719719,0.4905718126724681,0.48391097938076244,0.5076092920828339,0.24528590633623404,0.3327083681758527
F1_hist4,6,6796,3408,0.5014714537963508,0.8177234923695119,0.48958628988105046,0.5133549551032445,0.40886174618475596,0.45737076691854056
F1_hist4,7,6569,3352,0.5102755366113564,0.0982597157385722,0.4981842203444895,0.5223548414822856,0.0491298578692861,0.12471425459126471
F1_hist4,8,6550,3334,0.5090076335877862,0.14826785384124969,0.4968989460427377,0.521105761303256,0.07413392692062484,0.16174674964499966
F1_hist4,9,6742,3400,0.5043013942450312,0.4875637184978383,0.49236752991126204,0.516230359490707,0.24378185924891915,0.3327083681758527
F1_hist4,10,6707,3408,0.5081258386760101,0.18725157052297406,0.49615983551638176,0.5200825386144575,0.09362578526148703,0.18445766321097426
F1_hist4,11,6760,3223,0.47677514792899406,0.00014036201204805268,0.46488522426495243,0.48869145322554336,7.018100602402634e-05,0.0004875733050090251
F1_hist4,12,6734,3372,0.5007425007425007,0.9126685300075487,0.48880315310015765,0.5126810017069247,0.45633426500377433,0.46876360296107555
F1_hist4,13,6631,3197,0.48212939224852963,0.0037503542788119735,0.4701161707265944,0.49416330807814435,0.0018751771394059868,0.009167532681540379
F1_hist4,14,6568,3135,0.4773142509135201,0.0002470578718014202,0.4652511723038338,0.489403851639531,0.0001235289359007101,0.0008361958737894221
